City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,5.09,52,40,1.54,CA,1712964862
1,mossel bay,-34.1831,22.146,10.96,75,62,4.55,ZA,1712964888
2,prosser,46.2068,-119.7689,19.46,48,100,2.24,US,1712965103
3,nemuro,43.3236,145.575,5.74,90,35,3.28,JP,1712964861
4,tura,25.5198,90.2201,23.71,36,24,0.75,IN,1712964866
5,rongelap,11.1635,166.8941,27.01,74,95,7.94,MH,1712964874
6,klyuchi,52.2667,79.1667,3.54,62,97,6.07,RU,1712964874
7,kolondieba,11.0882,-6.8926,28.92,53,99,1.86,ML,1712965271
8,cidade velha,14.9167,-23.6167,23.26,73,43,2.57,CV,1712965271
9,iqaluit,63.7506,-68.5145,-11.15,66,20,5.66,CA,1712964612
10,leiyang,26.4024,112.8591,23.13,90,75,1.81,CN,1712965271
11,tamanrasset,22.785,5.5228,17.95,17,0,3.6,DZ,1712965271
12,nova sintra,14.8667,-24.7167,22.7,82,49,9.08,CV,1712964866
13,adamstown,-25.066,-130.1015,22.12,63,11,6.65,PN,1712964859
14,invercargill,-46.4,168.35,12.23,78,46,0.89,NZ,1712964860
15,varadero,23.1536,-81.2514,25.42,79,86,4.25,CU,1712965272
16,west island,-12.1568,96.8225,26.99,83,40,3.6,CC,1712964865
17,waitangi,-43.9535,-176.5597,17.12,97,100,5.36,NZ,1712964858
18,otuzco,-7.9,-78.5833,12.34,91,88,0.85,PE,1712965272
19,maiduguri,11.8464,13.1603,29.04,9,65,2.81,NG,1712964994
20,talnakh,69.4865,88.3972,-12.66,79,100,5.84,RU,1712964886
21,sitia,35.2,26.0986,18.88,78,6,3.31,GR,1712965272
22,san antonio de pale,-1.4014,5.6325,28.03,78,72,6.13,GQ,1712964890
23,grytviken,-54.2811,-36.5092,0.66,92,62,7.02,GS,1712964859
24,aasiaat,68.7098,-52.8699,-7.2,87,99,2.99,GL,1712964875
25,knyaze-volkonskoye,48.4642,135.4567,11.19,68,100,4.47,RU,1712965272
26,alice springs,-23.7,133.8833,19.01,38,0,1.34,AU,1712964863
27,angaur state,6.906,134.13,28.31,77,95,5.7,PW,1712965272
28,port-aux-francais,-49.35,70.2167,9.14,98,100,14.36,TF,1712964858
29,utrik,11.2278,169.8474,26.64,77,73,8.79,MH,1712964859
30,loukhi,66.0764,33.0381,-0.04,92,100,2.05,RU,1712965272
31,melekeok village,7.4957,134.6367,29.31,74,75,4.12,PW,1712965272
32,puerto ayora,-0.7393,-90.3518,26.42,94,58,2.68,EC,1712964859
33,bethel,41.3712,-73.414,15.05,65,75,8.75,US,1712964768
34,yung shue wan,22.2333,114.1167,25.73,86,0,1.2,HK,1712965272
35,albany,42.6001,-73.9662,13.46,79,90,0.45,US,1712964713
36,blackmans bay,-43.0167,147.3167,17.51,65,85,0.89,AU,1712964861
37,cambria,35.5641,-121.0808,14.75,96,97,4.47,US,1712964736
38,papatowai,-46.5619,169.4708,11.71,69,52,2.5,NZ,1712964862
39,cestos city,5.46,-9.5828,27.38,86,60,2.22,LR,1712965273
40,al mawsil al jadidah,36.3346,43.0978,16.1,70,5,3.08,IQ,1712965273
41,puerto natales,-51.7236,-72.4875,5.71,95,32,2.17,CL,1712964664
42,ishigaki,24.3448,124.1572,25.07,100,75,2.06,JP,1712964883
43,edinburgh of the seven seas,-37.0676,-12.3116,19.56,85,95,10.5,SH,1712964858
44,happy valley-goose bay,53.3168,-60.3315,5.17,93,100,5.66,CA,1712965273
45,island harbour,50.724,-1.2758,13.04,88,100,1.34,GB,1712965273
46,faya-largeau,17.9257,19.1043,27.61,10,35,6.74,TD,1712965273
47,kenai,60.5544,-151.2583,3.05,69,0,10.29,US,1712964880
48,kemijarvi,66.7131,27.4306,0.04,98,88,4.43,FI,1712965273
49,taltal,-25.4,-70.4833,18.34,77,23,2.56,CL,1712965273
50,hermanus,-34.4187,19.2345,13.22,77,23,5.7,ZA,1712964860
51,tolanaro,-25.0319,46.9987,22.04,88,40,2.06,MG,1712964883
52,tofol,5.3248,163.0078,26.88,89,100,3.09,FM,1712965273
53,college,64.8569,-147.8028,4.48,72,100,5.66,US,1712964865
54,tiksi,71.6872,128.8694,-18.01,86,98,9.56,RU,1712964867
55,hamilton,39.1834,-84.5333,12.36,79,100,12.96,US,1712964811
56,ribeira grande,38.5167,-28.7,15.99,88,100,9.83,PT,1712964864
57,aras-asan,8.8908,126.3033,27.39,69,82,0.94,PH,1712964866
58,margaret river,-33.95,115.0667,16.74,63,87,3.34,AU,1712964863
59,nar'yan-mar,67.6713,53.087,-16.05,92,93,6.71,RU,1712964876
60,cockburn town,21.4612,-71.1419,25.43,87,65,6.26,TC,1712964875
61,tubarjal,30.4999,38.216,19.07,46,22,4.03,SA,1712965274
62,jamestown,42.097,-79.2353,6.96,93,100,7.72,US,1712964726
63,vorgashor,67.5833,63.95,-11.22,96,100,1.52,RU,1712964862
64,thunder bay,48.4001,-89.3168,7.99,49,75,9.26,CA,1712965134
65,stanley,54.868,-1.6985,11.01,88,40,4.63,GB,1712964861
66,alesund,62.4723,6.1549,11.51,71,83,5.66,NO,1712965274
67,sharanga,57.1775,46.5396,4.58,91,97,5.37,RU,1712965274
68,manokwari,-0.8667,134.0833,27.88,76,90,1.31,ID,1712964858
69,linhares,-19.3911,-40.0722,22.76,94,66,1.61,BR,1712965099
70,dehdasht,30.7949,50.5646,15.55,53,0,0.62,IR,1712965274
71,torquay,50.4638,-3.5143,12.14,90,100,2.24,GB,1712965274
72,hoeryong,42.4428,129.7508,18.24,33,88,2.55,KP,1712965274
73,lata,40.1629,-8.3327,14.95,83,88,1.08,PT,1712964872
74,acarau,-2.8856,-40.12,26.54,85,93,3.14,BR,1712965187
75,hawaiian paradise park,19.5933,-154.9731,23.35,94,100,0.45,US,1712964861
76,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,93,75,2.0,RU,1712964863
77,kolonia town,6.964,158.206,30.0,84,100,1.54,FM,1712964868
78,laguna,38.421,-121.4238,21.41,54,0,6.69,US,1712965275
